,tweets
0,Yaudah sih tinggal mrt transjkt Gaada yg mesti dikagetin diheranin Demi kebaikan kasian udara jakarta udh kotor bgt2an drpd kena penyakit paru2
1,kotor
2,kasian aja gitu orang orang kaya gini ayo coba rasain kereta amp busway amp mrt biar ga ngedumel udara kotor udara kotor kendaraan pribadi
3,Kalau alasan “ Ih lu bgst ” Kalau alasan “ Bangun rumah bikin kotor kalik. ” The only reason people shouldn ’ t ride MRT is if the destination isn ’ t reached by it
4,Setiap MRT nampak cermin kotor Tak cucikah
