,tweets
0,@askfess Yaudah sih tinggal naik mrt atau transjkt. Gaada yg mesti dikagetin dan diheranin. Demi kebaikan bersama kasian udara jakarta udh kotor bgt2an drpd kalian kena penyakit paru2
1,@muchsin1922 kotor
2,"kasian aja gitu sama orang orang kaya gini, ayo coba rasain naik kereta &amp; busway &amp; mrt. biar ga cuma ngedumel udara kotor udara kotor tapi masih naik kendaraan pribadi"
3,"@ihsanaziz Kalau karena alasan pertama, “Ih banyak mau lu bgst”

Kalau karena alasan kedua, “Bangun rumah juga bikin kotor, kalik.”

The only reason people shouldn’t ride MRT is if the destination isn’t reached by it."
4,"Setiap hari saya naik MRT, inilah yang saya nampak setiap hari, cermin kotor ! Tak pernah cucikah ? @MRTMalaysia @anthonyloke  @MyRapidKL https://t.co/UoCu0Pe5SO"
